cnt_date,feature,hitcount
2022-08-11,WLS_WATER_LICENCED_WRK_LINE_SP,140729
2022-08-12,WLS_WATER_LICENCED_WRK_LINE_SP,140767
2022-08-13,WLS_WATER_LICENCED_WRK_LINE_SP,140767
2022-08-14,WLS_WATER_LICENCED_WRK_LINE_SP,140767
2022-08-15,WLS_WATER_LICENCED_WRK_LINE_SP,140767
2022-08-16,WLS_WATER_LICENCED_WRK_LINE_SP,140792
2022-08-17,WLS_WATER_LICENCED_WRK_LINE_SP,140793
2022-08-18,WLS_WATER_LICENCED_WRK_LINE_SP,140794
2022-08-19,WLS_WATER_LICENCED_WRK_LINE_SP,140797
2022-08-20,WLS_WATER_LICENCED_WRK_LINE_SP,140797
2022-08-21,WLS_WATER_LICENCED_WRK_LINE_SP,140797
2022-08-22,WLS_WATER_LICENCED_WRK_LINE_SP,140797
2022-08-23,WLS_WATER_LICENCED_WRK_LINE_SP,140798
2022-08-24,WLS_WATER_LICENCED_WRK_LINE_SP,140800
2022-08-25,WLS_WATER_LICENCED_WRK_LINE_SP,140800
2022-08-26,WLS_WATER_LICENCED_WRK_LINE_SP,140800
2022-08-27,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-08-28,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-08-29,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-08-30,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-08-31,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-09-01,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-09-02,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-09-03,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-09-04,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-09-05,WLS_WATER_LICENCED_WRK_LINE_SP,140799
2022-09-06,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-07,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-08,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-09,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-10,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-11,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-12,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-13,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-14,WLS_WATER_LICENCED_WRK_LINE_SP,140803
2022-09-15,WLS_WATER_LICENCED_WRK_LINE_SP,140821
2022-09-16,WLS_WATER_LICENCED_WRK_LINE_SP,140821
2022-09-17,WLS_WATER_LICENCED_WRK_LINE_SP,140822
2022-09-18,WLS_WATER_LICENCED_WRK_LINE_SP,140822
2022-09-19,WLS_WATER_LICENCED_WRK_LINE_SP,140822
2022-09-20,WLS_WATER_LICENCED_WRK_LINE_SP,140822
2022-09-21,WLS_WATER_LICENCED_WRK_LINE_SP,140822
2022-09-22,WLS_WATER_LICENCED_WRK_LINE_SP,140823
